text,label
"Сделай перевод на счёт 5469 3800 5555 1111 прямо сейчас, я потом напишу детали.",phishing
"быстро переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Срочно нужен перевод 5000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Срочно нужен перевод €300 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Срочно нужен перевод 900 usd на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"немедленно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Срочно нужен перевод 12000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"быстро переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 срочно, я потом напишу детали.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 срочно, я потом напишу детали.",phishing
"Срочно нужен перевод 25000 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Срочно нужен перевод $800 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 быстро, я потом напишу детали.",phishing
"Сделай перевод на счёт 40817810099910004312 немедленно, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 быстро, я потом напишу детали.",phishing
"прямо сейчас переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Сделай перевод на счёт 40817810099910004312 быстро, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"быстро переведи деньги на карту 40817810099910004312, потом всё объясню.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 прямо сейчас, я потом напишу детали.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 быстро, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Срочно нужен перевод 25000 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Срочно нужен перевод $800 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Срочно нужен перевод 12000 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Сделай перевод на счёт 40817810099910004312 быстро, я потом напишу детали.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 прямо сейчас, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Срочно нужен перевод 5000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 прямо сейчас, я потом напишу детали.",phishing
"быстро переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Срочно нужен перевод 5000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Срочно нужен перевод $800 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"немедленно переведи деньги на карту 40817810099910004312, потом всё объясню.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 быстро, я потом напишу детали.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Срочно нужен перевод 900 usd на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"срочно переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 прямо сейчас, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 немедленно, я потом напишу детали.",phishing
"срочно переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Срочно нужен перевод 12000 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 немедленно, я потом напишу детали.",phishing
"срочно переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"прямо сейчас переведи деньги на карту 40817810099910004312, потом всё объясню.",phishing
"Срочно нужен перевод 5000 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Срочно нужен перевод 1500 rub на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"срочно переведи деньги на карту 40817810099910004312, потом всё объясню.",phishing
"немедленно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Срочно нужен перевод €300 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"быстро переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 немедленно, я потом напишу детали.",phishing
"прямо сейчас переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 прямо сейчас, я потом напишу детали.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Срочно нужен перевод 25000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 срочно, я потом напишу детали.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 прямо сейчас, я потом напишу детали.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 быстро, я потом напишу детали.",phishing
"немедленно переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 быстро, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"срочно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Сделай перевод на счёт 40817810099910004312 прямо сейчас, я потом напишу детали.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Срочно нужен перевод $800 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"быстро переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"срочно переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт 40817810099910004312.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"быстро переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 прямо сейчас, я потом напишу детали.",phishing
"Срочно нужен перевод $800 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Срочно нужен перевод 900 usd на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"срочно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Срочно нужен перевод 900 usd на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Срочно нужен перевод 5000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 прямо сейчас, я потом напишу детали.",phishing
"прямо сейчас переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"немедленно переведи деньги на карту 40817810099910004312, потом всё объясню.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 быстро, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Срочно нужен перевод 12000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Срочно нужен перевод 5000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Срочно нужен перевод 900 usd на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"прямо сейчас переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 срочно, я потом напишу детали.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 прямо сейчас, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Срочно нужен перевод €300 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 40817810099910004312.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 быстро, я потом напишу детали.",phishing
"Срочно нужен перевод $800 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Срочно нужен перевод 5000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Срочно нужен перевод €300 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"немедленно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Срочно нужен перевод $800 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"немедленно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Срочно нужен перевод 900 usd на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт 40817810099910004312.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 прямо сейчас, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 40817810099910004312.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 срочно, я потом напишу детали.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 прямо сейчас, я потом напишу детали.",phishing
"Сделай перевод на счёт 40817810099910004312 немедленно, я потом напишу детали.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Сделай перевод на счёт 40817810099910004312 быстро, я потом напишу детали.",phishing
"Срочно нужен перевод $800 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"прямо сейчас переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Срочно нужен перевод $800 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 срочно, я потом напишу детали.",phishing
"быстро переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 прямо сейчас, я потом напишу детали.",phishing
"немедленно переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"Срочно нужен перевод $800 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 40817810099910004312.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 40817810099910004312, это очень срочно.",phishing
"прямо сейчас переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 срочно, я потом напишу детали.",phishing
"Сделай перевод на счёт 40817810099910004312 быстро, я потом напишу детали.",phishing
"Срочно нужен перевод 25000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 прямо сейчас, я потом напишу детали.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 срочно, я потом напишу детали.",phishing
"Срочно нужен перевод 1500 rub на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Срочно нужен перевод 1500 rub на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 немедленно, я потом напишу детали.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"Срочно нужен перевод €300 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Срочно нужен перевод 1500 rub на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Срочно нужен перевод €300 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"срочно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"немедленно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 немедленно, я потом напишу детали.",phishing
"Срочно нужен перевод 12000 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Сделай перевод на счёт 40817810099910004312 немедленно, я потом напишу детали.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Пожалуйста, быстро скинь деньги на карту LT12 1000 0111 0100, это очень срочно.",phishing
"немедленно переведи деньги на карту LT12 1000 0111 0100, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Срочно нужен перевод €300 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 быстро, я потом напишу детали.",phishing
"Сделай перевод на счёт 4276 3800 1234 5678 немедленно, я потом напишу детали.",phishing
"Срочно нужен перевод 900 usd на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Срочно нужен перевод €300 на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Срочно нужен перевод 900 usd на мой счёт 40817810099910004312, сейчас нет времени.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 40817810099910004312.",phishing
"Срочно нужен перевод 12000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Сделай перевод на счёт 40817810099910004312 немедленно, я потом напишу детали.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Срочно нужен перевод 25000 на мой счёт 5469 3800 5555 1111, сейчас нет времени.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 немедленно, я потом напишу детали.",phishing
"Срочно нужен перевод 25000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"срочно переведи деньги на карту 40817810099910004312, потом всё объясню.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт 40817810099910004312.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 быстро, я потом напишу детали.",phishing
"Нет времени объяснять, быстро отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Сделай перевод на счёт 40817810099910004312 срочно, я потом напишу детали.",phishing
"Срочно нужен перевод 12000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"немедленно переведи деньги на карту 5469 3800 5555 1111, потом всё объясню.",phishing
"Срочно нужен перевод 25000 на мой счёт LT12 1000 0111 0100, сейчас нет времени.",phishing
"Сделай перевод на счёт 5469 3800 5555 1111 немедленно, я потом напишу детали.",phishing
"Сделай перевод на счёт 40817810099910004312 быстро, я потом напишу детали.",phishing
"Сделай перевод на счёт LT12 1000 0111 0100 быстро, я потом напишу детали.",phishing
"прямо сейчас переведи деньги на карту 4276 3800 1234 5678, потом всё объясню.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Сделай перевод на счёт 40817810099910004312 немедленно, я потом напишу детали.",phishing
"Срочно нужен перевод 900 usd на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Срочно нужен перевод 1500 rub на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Нет времени объяснять, прямо сейчас отправь деньги на мой счёт 5469 3800 5555 1111.",phishing
"Нет времени объяснять, немедленно отправь деньги на мой счёт LT12 1000 0111 0100.",phishing
"Нет времени объяснять, срочно отправь деньги на мой счёт 4276 3800 1234 5678.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
"Срочно нужен перевод 5000 на мой счёт 4276 3800 1234 5678, сейчас нет времени.",phishing
"Пожалуйста, быстро скинь деньги на карту 4276 3800 1234 5678, это очень срочно.",phishing
"Пожалуйста, быстро скинь деньги на карту 5469 3800 5555 1111, это очень срочно.",phishing
